name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Login / Login POST	200	200	0	120	120	-1	140	140	-1	129	129	-1	0	0	-1	130	130	-1	130	130	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Login / Home	200	200	0	10	10	-1	20	20	-1	11	11	-1	1	1	-1	20	20	-1	20	20	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Project Overview	400	400	0	10	10	-1	110	110	-1	35	35	-1	24	24	-1	60	60	-1	70	70	-1	t < 800 ms	400	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	18	18	-1
Project Overview / JS: liftAjax	400	400	0	0	0	-1	20	20	-1	2	2	-1	4	4	-1	10	10	-1	10	10	-1	t < 800 ms	400	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	18	18	-1
Project Overview / Project: j8NA940XXv9	400	400	0	10	10	-1	20	20	-1	10	10	-1	3	3	-1	10	10	-1	20	20	-1	t < 800 ms	400	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	18	18	-1
Project Overview / JS: zeroclipboard.js	200	200	0	0	0	-1	20	20	-1	1	1	-1	3	3	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Project Overview / JS: project.js	200	200	0	0	0	-1	10	10	-1	0	0	-1	2	2	-1	0	0	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
UseCase Editor	400	400	0	20	20	-1	160	160	-1	51	51	-1	33	33	-1	110	110	-1	110	110	-1	t < 800 ms	400	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	18	18	-1
UseCase Editor / UCE: 2PbB1awttl1	200	200	0	20	20	-1	70	70	-1	27	27	-1	7	7	-1	30	30	-1	40	40	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
UseCase Editor / JS: liftAjax	400	400	0	0	0	-1	30	30	-1	2	2	-1	4	4	-1	10	10	-1	10	10	-1	t < 800 ms	400	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	18	18	-1
UseCase Editor / JS: uce.js	200	200	0	0	0	-1	10	10	-1	1	1	-1	3	3	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
UseCase Editor / UCE: 2PbB10XLd8j	200	200	0	10	10	-1	40	40	-1	21	21	-1	3	3	-1	30	30	-1	30	30	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Read UCs	200	200	0	100	100	-1	210	210	-1	122	122	-1	21	21	-1	160	160	-1	160	160	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Read UCs / Read UCs: j8NA940XXv9	200	200	0	10	10	-1	40	40	-1	20	20	-1	6	6	-1	30	30	-1	30	30	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Read UCs / JS: publish.js	200	200	0	0	0	-1	10	10	-1	1	1	-1	2	2	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Read UCs / JS: liftAjax	200	200	0	0	0	-1	10	10	-1	3	3	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Read UCs / JS: vendor/mathjax/MathJax.js	200	200	0	0	0	-1	10	10	-1	0	0	-1	2	2	-1	0	0	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Read UCs / JS: vendor/mathjax/config/default.js	200	200	0	0	0	-1	20	20	-1	4	4	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Logout	200	200	0	0	0	-1	10	10	-1	3	3	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
